text_original,text_cleaned,text_lemmatized,text_stemmed,sentiment,sentiment_label,url_count,mention_count,hashtag_count,hashtags,user,vader_score,textblob_score,avg_sentiment,sentiment_category
"@elanorelle Niceee... we ran out of filter coffee art work , not good  , forgot my bread to make toast bad start to the day",niceee we ran out of filter coffee art work not good forgot my bread to make toast bad start to the day,niceee ran filter coffee art work good forgot bread make toast bad start day,nicee ran filter coffe art work good forgot bread make toast bad start day,0,Negative,0,1,0,,FREDDIESDOUBLE,-0.7101,-0.5249999999999999,-0.6175499999999999,Negative
"Ugh coffee please! Being at work at 6.45 is not good for my brain, it is now officialy melting ",ugh coffee please being at work at is not good for my brain it is now officialy melting,ugh coffee please work good brain officialy melting,ugh coffe pleas work good brain officiali melt,0,Negative,0,0,0,,Jo_Jo85,-0.4936,-0.35,-0.42179999999999995,Negative
coffee @33 is turning into Starbucks (feral children-wise) ,coffee is turning into starbucks feral childrenwise,coffee turning starbucks feral childrenwise,coffe turn starbuck feral childrenwis,0,Negative,0,1,0,,petebw,0.0,0.0,0.0,Neutral
"I am a work martyr. Give me chocolate, coffee and sympathy. And now my cat's decided she's dying ",i am a work martyr give me chocolate coffee and sympathy and now my cats decided shes dying,work martyr give chocolate coffee sympathy cat decided shes dying,work martyr give chocol coffe sympathi cat decid she die,0,Negative,0,0,0,,Tittch,0.3612,0.0,0.1806,Positive
"I'm wish I wouldn't have drank coffee all day long, need sleep, must sleep, can't sleep ",im wish i wouldnt have drank coffee all day long need sleep must sleep cant sleep,im wish wouldnt drank coffee day long need sleep must sleep cant sleep,im wish wouldnt drank coffe day long need sleep must sleep cant sleep,0,Negative,0,0,0,,rotekatze,0.4019,-0.05,0.17595,Positive
"having a coffee and going through my twitter, facebook and other social networks ..... it seems to become a full time job to keep up ",having a coffee and going through my twitter facebook and other social networks it seems to become a full time job to keep up,coffee going twitter facebook social network seems become full time job keep,coffe go twitter facebook social network seem becom full time job keep,0,Negative,0,0,0,,RealRicola,0.0,0.0861111111111111,0.04305555555555555,Neutral
@dale__wood I love uni coffee????? BET you won't get this one. ILPC oh ps uni tomorrow pick u up at 12:52! PS 1000 word assignment!  ARG,i love uni coffee bet you wont get this one ilpc oh ps uni tomorrow pick u up at ps word assignment arg,love uni coffee bet wont get one ilpc oh p uni tomorrow pick u p word assignment arg,love uni coffe bet wont get one ilpc oh ps uni tomorrow pick u ps word assign arg,0,Negative,0,1,0,,monblain,0.7746,0.78125,0.777925,Positive
coffee time - wish i had whiskey like @cameronreilly ,coffee time wish i had whiskey like,coffee time wish whiskey like,coffe time wish whiskey like,0,Negative,0,1,0,,Muzzzza,0.6369,0.0,0.31845,Positive
Had another amazing night with Tyler :* now off to work .... gotta make coffee for the early birds ,had another amazing night with tyler now off to work gotta make coffee for the early birds,another amazing night tyler work gotta make coffee early bird,anoth amaz night tyler work gotta make coffe earli bird,0,Negative,0,0,0,,jacobs_mcr,0.8074,0.35000000000000003,0.5787,Positive
@cjoneill hurrah! @gutters gave the coffee a miss today ... he was regreting that decisioin by mid-morning - no sleep for new dads ,hurrah gave the coffee a miss today he was regreting that decisioin by midmorning no sleep for new dads,hurrah gave coffee miss today regreting decisioin midmorning sleep new dad,hurrah gave coffe miss today regret decisioin midmorn sleep new dad,0,Negative,0,2,0,,ms_dan,0.2714,0.13636363636363635,0.20388181818181816,Positive
"Worst combination ever: 2 cups of Coffee, vitamin pill, cereal and milk. ",worst combination ever cups of coffee vitamin pill cereal and milk,worst combination ever cup coffee vitamin pill cereal milk,worst combin ever cup coffe vitamin pill cereal milk,0,Negative,0,0,0,,SkittleLush,-0.4404,-1.0,-0.7202,Negative
Starbucks. I need coffee!!!!!! Then school ,starbucks i need coffee then school,starbucks need coffee school,starbuck need coffe school,0,Negative,0,0,0,,nicktesto,0.0,0.0,0.0,Neutral
On the train.. Day 2.. 2 more to go.. No coffee today ,on the train day more to go no coffee today,train day go coffee today,train day go coffe today,0,Negative,0,0,0,,Irenaaaa,-0.3535,0.5,0.07325000000000001,Positive
still haven't got my coffee. I'm done. Help me ,still havent got my coffee im done help me,still havent got coffee im done help,still havent got coffe im done help,0,Negative,0,0,0,,blackseahawk,0.4019,0.0,0.20095,Positive
Knows I'm sick if I don't want coffee ,knows im sick if i dont want coffee,know im sick dont want coffee,know im sick dont want coffe,0,Negative,0,0,0,,musicem7,-0.5457,-0.7142857142857143,-0.6299928571428571,Negative
"Kinsey Whearty put too much milk in her coffee and chicory.  Oh sadness, alas...",kinsey whearty put too much milk in her coffee and chicory oh sadness alas,kinsey whearty put much milk coffee chicory oh sadness ala,kinsey whearti put much milk coffe chicori oh sad ala,0,Negative,0,0,0,,generativefbart,-0.6124,-0.1,-0.3562,Negative
@coffeemaverick I have a brick... err... laptop that did the same thing.  My condolences.  ,i have a brick err laptop that did the same thing my condolences,brick err laptop thing condolence,brick err laptop thing condol,0,Negative,0,1,0,,dianefelman,0.0,0.0,0.0,Neutral
@thejrod @idolan a problem compounded by the fact there's no coffee in IT  - sounds like monday 2.0,a problem compounded by the fact theres no coffee in it sounds like monday,problem compounded fact there coffee sound like monday,problem compound fact there coffe sound like monday,0,Negative,0,2,0,,cyberentomology,-0.34,0.0,-0.17,Negative
has coffee breath. i need something minty. ,has coffee breath i need something minty,coffee breath need something minty,coffe breath need someth minti,0,Negative,0,0,0,,lmarier,0.0,0.0,0.0,Neutral
I think our coffee pot died ,i think our coffee pot died,think coffee pot died,think coffe pot die,0,Negative,0,0,0,,filthEdesign,-0.5574,0.0,-0.2787,Negative
My coffee was not everything I wanted it to be ,my coffee was not everything i wanted it to be,coffee everything wanted,coffe everyth want,0,Negative,0,0,0,,Sprucehillfarm,0.0,0.0,0.0,Neutral
My coffee was cold ,my coffee was cold,coffee cold,coffe cold,0,Negative,0,0,0,,stargirlxo,0.0,-0.6,-0.3,Negative
this coffee is not as good as normal ,this coffee is not as good as normal,coffee good normal,coffe good normal,0,Negative,0,0,0,,TripleT4280,-0.3412,0.425,0.04189999999999999,Neutral
"Is at the dentist and I've gotta get a tooth extracted  damn you pepsi, coffee, and candy...",is at the dentist and ive gotta get a tooth extracted damn you pepsi coffee and candy,dentist ive gotta get tooth extracted damn pepsi coffee candy,dentist ive gotta get tooth extract damn pepsi coffe candi,0,Negative,0,0,0,,Carla_215,-0.4019,0.0,-0.20095,Negative
Left my coffee at home ,left my coffee at home,left coffee home,left coffe home,0,Negative,0,0,0,,lzimmer,0.0,0.0,0.0,Neutral
"I will no longer drink coffee. if i do, you can have all my Jem dolls  Except out of the house cos that doesn't count!",i will no longer drink coffee if i do you can have all my jem dolls except out of the house cos that doesnt count,longer drink coffee jem doll except house co doesnt count,longer drink coffe jem doll except hous co doesnt count,0,Negative,0,0,0,,TwilightDa,-0.3595,0.0,-0.17975,Negative
"Baby girl fed, breakfast done, now working on coffee for 2nd day back-to-work. My muscles are very achy ",baby girl fed breakfast done now working on coffee for nd day backtowork my muscles are very achy,baby girl fed breakfast done working coffee nd day backtowork muscle achy,babi girl fed breakfast done work coffe nd day backtowork muscl achi,0,Negative,0,0,0,,Tyrelly,0.0,0.1,0.05,Neutral
@miemoface eeeeew get coffee beforehand ,eeeeew get coffee beforehand,eeeeew get coffee beforehand,eeeeew get coffe beforehand,0,Negative,0,1,0,,bethaleh,0.0,0.0,0.0,Neutral
Ughh.. maybe that coffee wasn't a good idea ,ughh maybe that coffee wasnt a good idea,ughh maybe coffee wasnt good idea,ughh mayb coffe wasnt good idea,0,Negative,0,0,0,,MsCrissy,-0.3412,0.7,0.17939999999999998,Positive
@jessid33 I hope things start looking up soon  Coffee always helps me! ,i hope things start looking up soon coffee always helps me,hope thing start looking soon coffee always help,hope thing start look soon coffe alway help,0,Negative,0,1,0,,JeremySkelly,0.6996,0.0,0.3498,Positive
second cup of coffee doesn't seem to be working ,second cup of coffee doesnt seem to be working,second cup coffee doesnt seem working,second cup coffe doesnt seem work,0,Negative,0,0,0,,korbinb,0.0,0.0,0.0,Neutral
coffee keeps me going..... oh god work again tomorrowm  good ol maccas,coffee keeps me going oh god work again tomorrowm good ol maccas,coffee keep going oh god work tomorrowm good ol maccas,coffe keep go oh god work tomorrowm good ol macca,0,Negative,0,0,0,,biancaboobette,0.6124,0.7,0.6562,Positive
Your average industry ï¿½nilla porno doesnï¿½t even start around a coffee table anymoreï¿½ what the hell? ,your average industry ï¿½nilla porno doesnï¿½t even start around a coffee table anymoreï¿½ what the hell,average industry ï¿½nilla porno doesnï¿½t even start around coffee table anymoreï¿½ hell,averag industri ï¿½nilla porno doesnï¿½t even start around coffe tabl anymoreï¿½ hell,0,Negative,0,0,0,,rowsim,-0.6808,-0.15,-0.4154,Negative
Coffee &amp; cigarettes. Blah ,coffee amp cigarettes blah,coffee amp cigarette blah,coffe amp cigarett blah,0,Negative,0,0,0,,semipenguin,-0.1027,0.0,-0.05135,Negative
"The gassy girl wasn't there, and new girl did so awful I want to cry!!  Not even Coffee Coffee will make this better.  ",the gassy girl wasnt there and new girl did so awful i want to cry not even coffee coffee will make this better,gassy girl wasnt new girl awful want cry even coffee coffee make better,gassi girl wasnt new girl aw want cri even coffe coffe make better,0,Negative,0,0,0,,blinkgoddess,-0.5591,-0.12121212121212122,-0.34015606060606063,Negative
"Drinking coffee, listening to dump trucks dropping top soil onto the oceanfront lawn. Ain't nuthin' like diesel fumes in the morning. ",drinking coffee listening to dump trucks dropping top soil onto the oceanfront lawn aint nuthin like diesel fumes in the morning,drinking coffee listening dump truck dropping top soil onto oceanfront lawn aint nuthin like diesel fume morning,drink coffe listen dump truck drop top soil onto oceanfront lawn aint nuthin like diesel fume morn,0,Negative,0,0,0,,armandlt,-0.4606,0.5,0.019699999999999995,Neutral
So i finished fixing my coffee just the way i like it and reach for the ringing phone when i knock it over and the whole thing spills!  ,so i finished fixing my coffee just the way i like it and reach for the ringing phone when i knock it over and the whole thing spills,finished fixing coffee way like reach ringing phone knock whole thing spill,finish fix coffe way like reach ring phone knock whole thing spill,0,Negative,0,0,0,,maritxp,0.4389,0.25,0.34445000000000003,Positive
I really need coffee and I'm out of flavored creamer! I seriously can't stand plain coffee! ,i really need coffee and im out of flavored creamer i seriously cant stand plain coffee,really need coffee im flavored creamer seriously cant stand plain coffee,realli need coffe im flavor creamer serious cant stand plain coffe,0,Negative,0,0,0,,Gothicwiccan16,-0.3147,-0.11706349206349205,-0.215881746031746,Negative
@Disho14 I know the feeling today!  I  need you here to make coffee ,i know the feeling today i need you here to make coffee,know feeling today need make coffee,know feel today need make coffe,0,Negative,0,1,0,,AmberGannon,0.2003,0.0,0.10015,Positive
I need coffee and breakfast but hubs won't wake up and bring it to me ,i need coffee and breakfast but hubs wont wake up and bring it to me,need coffee breakfast hub wont wake bring,need coffe breakfast hub wont wake bring,0,Negative,0,0,0,,glossymom,0.0,0.0,0.0,Neutral
is sitting in a coffee shop @ the strip in Ttown watching it rain! ,is sitting in a coffee shop the strip in ttown watching it rain,sitting coffee shop strip ttown watching rain,sit coffe shop strip ttown watch rain,0,Negative,0,0,0,,bigheadchuck,0.0,0.0,0.0,Neutral
who wakes up early on vacation?! these people are crazy  i need coffee.,who wakes up early on vacation these people are crazy i need coffee,wake early vacation people crazy need coffee,wake earli vacat peopl crazi need coffe,0,Negative,0,0,0,,therealkristen,-0.4003,-0.2375,-0.31889999999999996,Negative
On my first cup of coffee. Can't wake up. ,on my first cup of coffee cant wake up,first cup coffee cant wake,first cup coffe cant wake,0,Negative,0,0,0,,LisaAGriffin,0.0,0.25,0.125,Positive
Need some coffee. Can't go to Starbucks until the shower is over. ,need some coffee cant go to starbucks until the shower is over,need coffee cant go starbucks shower,need coffe cant go starbuck shower,0,Negative,0,0,0,,alexbare,0.0,0.0,0.0,Neutral
eating frenchtoast &amp;  coffee in bed w dave! i had orange juice too but i just poured it all over myself ,eating frenchtoast amp coffee in bed w dave i had orange juice too but i just poured it all over myself,eating frenchtoast amp coffee bed w dave orange juice poured,eat frenchtoast amp coffe bed w dave orang juic pour,0,Negative,0,0,0,,ashleyaddington,0.0,0.0,0.0,Neutral
Needs some coffee.  ,needs some coffee,need coffee,need coffe,0,Negative,0,0,0,,ericthx,0.0,0.0,0.0,Neutral
@ChristineTonkin @yogagrl3 Dark Horse reminded me of my fave cafe in Sydney (Bill's). Have confrmd tho that can no longer drink coffee ,dark horse reminded me of my fave cafe in sydney bills have confrmd tho that can no longer drink coffee,dark horse reminded fave cafe sydney bill confrmd tho longer drink coffee,dark hors remind fave cafe sydney bill confrmd tho longer drink coffe,0,Negative,0,2,0,,tinkugallery,0.1779,-0.15,0.013950000000000004,Neutral
"@ohsoretro can I trade your day for mine?  Today is working, coffee coffee coffee, working, boring poli sci reading  oh and more coffee",can i trade your day for mine today is working coffee coffee coffee working boring poli sci reading oh and more coffee,trade day mine today working coffee coffee coffee working boring poli sci reading oh coffee,trade day mine today work coffe coffe coffe work bore poli sci read oh coffe,0,Negative,0,1,0,,minervao,-0.3182,-0.25,-0.2841,Negative
Having some coffee w/ friends. Preparing to leave Spain ,having some coffee w friends preparing to leave spain,coffee w friend preparing leave spain,coffe w friend prepar leav spain,0,Negative,0,0,0,,juanmcazorla,0.4404,0.0,0.2202,Positive
"has run out of cigarettes  what to do. stay + study or go for coffee, cigggie + a wee walk? time for fun yet? hmmm its only 6pm,study wins",has run out of cigarettes what to do stay study or go for coffee cigggie a wee walk time for fun yet hmmm its only pmstudy wins,run cigarette stay study go coffee cigggie wee walk time fun yet hmmm pmstudy win,run cigarett stay studi go coffe cigggi wee walk time fun yet hmmm pmstudi win,0,Negative,0,0,0,,andy_scottish,0.8105,0.19999999999999998,0.50525,Positive
Going to coffee shop to get lots of work done on my report  at least it's cloudy,going to coffee shop to get lots of work done on my report at least its cloudy,going coffee shop get lot work done report least cloudy,go coffe shop get lot work done report least cloudi,0,Negative,0,0,0,,kevinseattle,0.0,-0.3,-0.15,Negative
just used my last tsp of coffee ,just used my last tsp of coffee,used last tsp coffee,use last tsp coffe,0,Negative,0,0,0,,CShulamite,0.0,0.0,0.0,Neutral
"@VirginWrites can't wait for the deets, all alone in the newsroom writing about Delrisco with a little vino and a little coffee ",cant wait for the deets all alone in the newsroom writing about delrisco with a little vino and a little coffee,cant wait deets alone newsroom writing delrisco little vino little coffee,cant wait deet alon newsroom write delrisco littl vino littl coffe,0,Negative,0,1,0,,MikeNorth27,-0.25,-0.1875,-0.21875,Negative
Coffee before cravings round two. Missing a gt at roman's ,coffee before cravings round two missing a gt at romans,coffee craving round two missing gt roman,coffe crave round two miss gt roman,0,Negative,0,0,0,,AmberRae,-0.0258,-0.2,-0.1129,Negative
Can't get into the cleaning/packing groove today. Want to be at Coachella too bad... So sad  Guess I'll listen to music? Bah. More coffee,cant get into the cleaningpacking groove today want to be at coachella too bad so sad guess ill listen to music bah more coffee,cant get cleaningpacking groove today want coachella bad sad guess ill listen music bah coffee,cant get cleaningpack groov today want coachella bad sad guess ill listen music bah coffe,0,Negative,0,0,0,,Stezylee,-0.8015,-0.23333333333333325,-0.5174166666666666,Negative
I still haven't found the coffee machine... ,i still havent found the coffee machine,still havent found coffee machine,still havent found coffe machin,0,Negative,0,0,0,,iGustavo,0.0,0.0,0.0,Neutral
"I think I need a coffee, Iï¿½m falling asleep here ",i think i need a coffee iï¿½m falling asleep here,think need coffee iï¿½m falling asleep,think need coffe iï¿½m fall asleep,0,Negative,0,0,0,,UKANks,-0.1531,0.0,-0.07655,Negative
home sweet home  we'll check the surf now and have a GOOD coffee... but its raining ,home sweet home well check the surf now and have a good coffee but its raining,home sweet home well check surf good coffee raining,home sweet home well check surf good coffe rain,0,Negative,0,0,0,,laura_ben,0.5133,0.5249999999999999,0.51915,Positive
"@ddubsbostongirl @greekpeace Carys is ok, congrsted but happy still YAY! and I am ok, just trying 2 wake up sans Coffee ",carys is ok congrsted but happy still yay and i am ok just trying wake up sans coffee,carys ok congrsted happy still yay ok trying wake sans coffee,cari ok congrst happi still yay ok tri wake san coffe,0,Negative,0,2,0,,hellivina,0.9192,0.6666666666666666,0.7929333333333333,Positive
I want coffee ,i want coffee,want coffee,want coffe,0,Negative,0,0,0,,Brandicat,0.0772,0.0,0.0386,Neutral
"@MrW0nderful Now there's even more reason for me to come over!! Now I want coffee, but I can t ",now theres even more reason for me to come over now i want coffee but i can t,there even reason come want coffee,there even reason come want coffe,0,Negative,0,1,0,,JamesHancox,0.1862,0.78125,0.483725,Positive
Spilled one of my coffee plants ,spilled one of my coffee plants,spilled one coffee plant,spill one coffe plant,0,Negative,0,0,0,,mnbvcxz555,0.0,0.0,0.0,Neutral
"@Coffeerama Thank U! It opened this time! I would love that! I had a French press &amp; broke the plunger,never replaced it!  Goooood coffee!",thank u it opened this time i would love that i had a french press amp broke the plungernever replaced it goooood coffee,thank u opened time would love french press amp broke plungernever replaced goooood coffee,thank u open time would love french press amp broke plungernev replac goooood coffe,0,Negative,0,1,0,,Javamomma,0.7243,0.3125,0.5184,Positive
Wondering I should have really had the coffee... now I can't sleep ,wondering i should have really had the coffee now i cant sleep,wondering really coffee cant sleep,wonder realli coffe cant sleep,0,Negative,0,0,0,,AnnMarieDC,0.0,0.2,0.1,Positive
is about 2 savour his last coffee b4 fasting 4 his operation 2moro @ the Shepp Private Hospital @ 7am ,is about savour his last coffee b fasting his operation moro the shepp private hospital am,savour last coffee b fasting operation moro shepp private hospital,savour last coffe b fast oper moro shepp privat hospit,0,Negative,0,0,0,,damienlrstevens,0.0,0.0,0.0,Neutral
Tough love is serving as coffee cause I can't sleep without watching the end...I'm gonna be sooo tired @ church  gotta praise him anyhow!,tough love is serving as coffee cause i cant sleep without watching the endim gonna be sooo tired church gotta praise him anyhow,tough love serving coffee cause cant sleep without watching endim gonna sooo tired church gotta praise anyhow,tough love serv coffe caus cant sleep without watch endim gonna sooo tire church gotta prais anyhow,0,Negative,0,0,0,,leeshbeesh,0.69,-0.12962962962962962,0.28018518518518515,Positive
"@Shavini | i misses you and your sis  we must get together soon, like coffee at DF? or CS? wat say you darling?",i misses you and your sis we must get together soon like coffee at df or cs wat say you darling,miss si must get together soon like coffee df c wat say darling,miss si must get togeth soon like coffe df cs wat say darl,0,Negative,0,1,0,,pavithri,0.7131,0.0,0.35655,Positive
@ElizabethJoan she looked cute when Shawn first met her at the coffee shop but now I'm on the wedding ep and she's just so drab ,she looked cute when shawn first met her at the coffee shop but now im on the wedding ep and shes just so drab,looked cute shawn first met coffee shop im wedding ep shes drab,look cute shawn first met coffe shop im wed ep she drab,0,Negative,0,1,0,,peachonice,0.25,0.375,0.3125,Positive
@Independent2010 I can't sleep   were gonna need a batch of that good good ... Coffee that Is!,i cant sleep were gonna need a batch of that good good coffee that is,cant sleep gonna need batch good good coffee,cant sleep gonna need batch good good coffe,0,Negative,0,1,0,,vicmia,0.7263,0.7875,0.7568999999999999,Positive
just spilled hot coffee all over myself running down the stairs at tribeca. I would ,just spilled hot coffee all over myself running down the stairs at tribeca i would,spilled hot coffee running stair tribeca would,spill hot coffe run stair tribeca would,0,Negative,0,0,0,,walicedan,0.0,0.04722222222222221,0.023611111111111104,Neutral
"Cheering up, waking up.  Coffee kicking in.  Why is it that I always get hungry and want to go to McD's at 3am on Sat, when it's swamped ",cheering up waking up coffee kicking in why is it that i always get hungry and want to go to mcds at am on sat when its swamped,cheering waking coffee kicking always get hungry want go mcds sat swamped,cheer wake coffe kick alway get hungri want go mcd sat swamp,0,Negative,0,0,0,,wbmsic,0.5574,0.0,0.2787,Positive
"@tommcfly http://twitpic.com/3kygb - uuuh that seems much more delicious that my poor coffee  It's like 4 am here, I didn't even go t ...",uuuh that seems much more delicious that my poor coffee its like am here i didnt even go t,uuuh seems much delicious poor coffee like didnt even go,uuuh seem much delici poor coffe like didnt even go,0,Negative,1,1,0,,Luu_gon,0.5256,0.3666666666666667,0.4461333333333333,Positive
man in monmouth coffee in c.garden so rude i walked out without coffee.  now i have no coffee ,man in monmouth coffee in cgarden so rude i walked out without coffee now i have no coffee,man monmouth coffee cgarden rude walked without coffee coffee,man monmouth coffe cgarden rude walk without coffe coffe,0,Negative,0,0,0,,SharmilaSub,-0.7241,-0.3,-0.51205,Negative
is drinking coffee. parents come home tonight ,is drinking coffee parents come home tonight,drinking coffee parent come home tonight,drink coffe parent come home tonight,0,Negative,0,0,0,,vivibabyface,0.0,0.0,0.0,Neutral
Good morning having a coffee and watching Ben 10: Alien Force. Matthew was up every hour last night teething ,good morning having a coffee and watching ben alien force matthew was up every hour last night teething,good morning coffee watching ben alien force matthew every hour last night teething,good morn coffe watch ben alien forc matthew everi hour last night teeth,0,Negative,0,0,0,,jamesErrington,0.4404,0.15,0.2952,Positive
sipping coffee and counting todays chores ,sipping coffee and counting todays chores,sipping coffee counting today chore,sip coffe count today chore,0,Negative,0,0,0,,TrudyDavies,0.0,0.0,0.0,Neutral
"@josiahwiebe yeah, lol you'll see my white one there on monday...covered in coffee stains ",yeah lol youll see my white one there on mondaycovered in coffee stains,yeah lol youll see white one mondaycovered coffee stain,yeah lol youll see white one mondaycov coffe stain,0,Negative,0,1,0,,hebb,0.6124,0.4,0.5062,Positive
"@prosperitygal damn, if only I'd seen your message 2 days ago, we could have had great 'coffee' together ",damn if only id seen your message days ago we could have had great coffee together,damn id seen message day ago could great coffee together,damn id seen messag day ago could great coffe togeth,0,Negative,0,1,0,,Wesbo,0.34,0.4,0.37,Positive
almost 3 am and i have to b up at 7.  bummer. oh well just push through with lots of coffee and redbull then crash hard around 3 pm.,almost am and i have to b up at bummer oh well just push through with lots of coffee and redbull then crash hard around pm,almost b bummer oh well push lot coffee redbull crash hard around pm,almost b bummer oh well push lot coffe redbul crash hard around pm,0,Negative,0,0,0,,Steveintheoc,-0.5574,-0.2916666666666667,-0.4245333333333333,Negative
"@fiowantscoffee ooh congrats!  and you're living together, ur so lucky! me and rob super want a flat but we're POOR. sux ",ooh congrats and youre living together ur so lucky me and rob super want a flat but were poor sux,ooh congrats youre living together ur lucky rob super want flat poor sux,ooh congrat your live togeth ur lucki rob super want flat poor sux,0,Negative,0,1,0,,koola,-0.7411,0.08124999999999999,-0.329925,Negative
@gfalcone601 http://twitpic.com/3l8y4 - Jeesh! I want your eyes  And that coffee :') X,jeesh i want your eyes and that coffee x,jeesh want eye coffee x,jeesh want eye coffe x,0,Negative,1,1,0,,hannahmcfly,0.5983,0.0,0.29915,Positive
i have a head-achey cold thing meeeh not good  but had fresh coffee and pancakes for breakfast so that cheered me up...a little,i have a headachey cold thing meeeh not good but had fresh coffee and pancakes for breakfast so that cheered me upa little,headachey cold thing meeeh good fresh coffee pancake breakfast cheered upa little,headachey cold thing meeeh good fresh coffe pancak breakfast cheer upa littl,0,Negative,0,0,0,,Im_No_Supergirl,0.7972,-0.20937499999999998,0.2939125,Positive
Not happy - drinking a pint of tea cos I don't have any coffee left ,not happy drinking a pint of tea cos i dont have any coffee left,happy drinking pint tea co dont coffee left,happi drink pint tea co dont coffe left,0,Negative,0,0,0,,carole29,-0.4585,-0.2,-0.32925000000000004,Negative
@purdyz I like the coffee machine there at that market.  KEWL.  I did miss the sunset ,i like the coffee machine there at that market kewl i did miss the sunset,like coffee machine market kewl miss sunset,like coffe machin market kewl miss sunset,0,Negative,0,1,0,,xbp,0.6037,0.0,0.30185,Positive
"waking up at 3pm with a hangover and a bottle of vodka next to me makes me feel worse ! need coffee, toast and company ",waking up at pm with a hangover and a bottle of vodka next to me makes me feel worse need coffee toast and company,waking pm hangover bottle vodka next make feel worse need coffee toast company,wake pm hangov bottl vodka next make feel wors need coffe toast compani,0,Negative,0,0,0,,dannylovex,-0.5255,-0.25,-0.38775,Negative
Up early against my will  direct tv guy is here ugh. Need Coffee stat!!!!!,up early against my will direct tv guy is here ugh need coffee stat,early direct tv guy ugh need coffee stat,earli direct tv guy ugh need coffe stat,0,Negative,0,0,0,,adesigner88,-0.6083,0.202587890625,-0.20285605468749998,Negative
